KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;44;EFSALJUNCAO400;3.91;171.9;2.15;3.52;3.88;4.31;4.84;4.21;148.1
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;14;EFSALKITTRAV02;17.07;238.98;2.99;4.9;5.4;6.0;6.73;5.85;148.1
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;148.1
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1134;80;8;SOLOGRAMPTERM1;1.25;10.02;0.13;0.21;0.23;0.25;0.28;0.25;148.1
SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 1303;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;18;PTM15BIPOSTE02;229.39;4129.01;51.61;84.61;93.24;103.59;116.3;101.03;180.39
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;4;SL002C407X000BRT;62.47;249.88;3.12;5.12;5.64;6.27;7.04;6.11;180.39
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;56;SL002C350X000BRT;53.72;3008.39;37.6;61.65;67.93;75.48;84.74;73.61;180.39
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;56;EFSALJUNCAO400;3.91;218.78;2.73;4.48;4.94;5.49;6.16;5.35;180.39
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;16;EFSALKITTRAV03;16.44;263.02;3.29;5.39;5.94;6.6;7.41;6.44;180.39
;SOLO 2 FILEIRAS BIPOSTE 15 GRAUS REGIAO 1 ;Biposte;2;15;1;1303;80;156;PSGRAMPINTSMART2;0.7;109.51;1.37;2.24;2.47;2.75;3.08;2.68;180.39
